time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2025-02-25,78.12916666666666,32.81666666666667,0.8130000000000001,47.45416666666667,31.896704166666712,41.208333333333336,94.56723891273248
2025-02-26,45.09583333333333,19.45,0.546375,32.62083333333333,20.191666666666666,44.75,66.45708154506438
2025-02-27,34.050000000000004,18.179166666666667,0.34954166666666664,19.4125,14.204166666666666,62.5,63.784513590844064
2025-02-28,58.0875,28.379166666666666,0.29554166666666665,11.6,10.270833333333334,94.29166666666667,85.23515736766811
2025-03-01,54.1625,29.233333333333334,0.48625,22.145833333333332,15.0,90.45833333333333,87.03147353361946
2025-03-02,41.22083333333333,25.383333333333336,0.56975,19.587500000000002,16.220833333333335,95.91666666666667,78.93490701001431
2025-03-03,94.78750000000001,34.47083333333333,0.366625,15.120833333333335,11.85,82.16666666666667,98.04595851216023
2025-03-04,88.8875,31.575,0.620875,26.733333333333334,13.579166666666666,80.375,91.95600858369099
2025-03-05,33.208333333333336,20.775000000000002,0.5857916666666667,24.21666666666667,16.295833333333334,91.79166666666667,69.24356223175967
2025-03-06,32.387499999999996,19.25,0.5449166666666666,23.650000000000002,16.25,88.45833333333333,66.03648068669528
2025-03-07,51.69583333333333,24.287499999999998,0.7411249999999999,25.587500000000002,16.2,87.0,76.63036480686695
2025-03-08,67.60833333333333,22.03333333333333,0.5215416666666667,21.304166666666667,12.2125,71.41666666666667,71.8898426323319
2025-03-09,61.637499999999996,28.974999999999998,0.636625,30.6875,18.945833333333333,83.16666666666667,86.48819742489272
2025-03-10,41.06666666666667,25.645833333333332,0.7087916666666666,38.94583333333333,18.266666666666666,55.208333333333336,79.48694563662374
2025-03-11,30.175,20.9375,0.661875,31.879166666666666,16.708333333333332,64.45833333333333,69.58530042918456
2025-03-12,25.016666666666666,16.691666666666666,0.5014166666666666,21.504166666666666,13.033333333333333,69.66666666666667,60.65629470672389
2025-03-13,32.15416666666667,16.045833333333334,0.403125,15.4,10.395833333333334,86.04166666666667,59.29810443490702
2025-03-14,75.4375,27.291666666666668,0.3425,13.029166666666667,10.295833333333333,89.0,82.94814020028613
2025-03-15,63.78333333333333,28.129166666666666,0.4486666666666667,17.349999999999998,15.254166666666668,105.29166666666667,84.70940629470672
2025-03-16,66.59166666666667,30.895833333333332,0.5265833333333333,32.354166666666664,17.3875,83.625,90.5277181688126
2025-03-17,55.93333333333334,23.9875,0.5672083333333333,25.508333333333336,16.629166666666666,79.95833333333333,75.99946351931331
2025-03-18,31.229166666666668,15.225,0.6834166666666667,21.4375,13.737499999999999,82.75,57.57188841201717
2025-03-19,27.325,14.670833333333334,0.4355,17.558333333333334,11.570833333333333,79.375,56.40647353361946
2025-03-20,28.983333333333334,16.395833333333332,0.4189583333333333,17.4375,14.049999999999999,88.04166666666667,60.03415593705293
